variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_interest,93,2022-23,TRUE,Interest income,
rev_interest,93,2023-24,TRUE,Interest income,
rev_interest,124,2019-20,FALSE,Interest income,
rev_dividend,3678,2020-21,FALSE,Revenue from public corporations,
rev_dividend,2093,2021-22,TRUE,Revenue from public corporations,
rev_dividend,2166,2022-23,TRUE,Revenue from public corporations,
rev_dividend,2183,2023-24,TRUE,Revenue from public corporations,
rev_dividend,1123,2019-20,FALSE,Revenue from public corporations,
rev_other,601,2020-21,FALSE,Other revenue,
rev_other,596,2021-22,TRUE,Other revenue,
rev_other,557,2022-23,TRUE,Other revenue,
rev_other,560,2023-24,TRUE,Other revenue,
rev_other,614,2019-20,FALSE,Other revenue,
rev_payroll,3680,2020-21,FALSE,Payroll tax,Estimated from $3,757 minus 2.1% decline
rev_land_tax,857,2020-21,FALSE,Total land tax,
rev_land_tax,833,2021-22,TRUE,Total land tax,
rev_land_tax,820,2022-23,TRUE,Total land tax,Estimated from further 2.7% decline then 3.2% growth in 2023-24
rev_land_tax,879,2019-20,FALSE,Total land tax,
econ_gsp_growth,1.25,2020-21,FALSE,GSP growth,Scenario shows 0.0% under second COVID wave
econ_unemployment,8.0,2020-21,FALSE,Unemployment rate (%),Scenario shows 8.75% under second COVID wave
exp_health,2000,2020-21,FALSE,Health services for regional Western Australians,"Approximate annual spending on health services for regional WA, stated as 'approximately $2 billion per annum'"
exp_education,1400,2020-21,FALSE,Education spending in regional WA,"Annual spending to provide education for ~84,000 students in over 330 schools across regional WA, stated as 'an estimated $1.4 billion per annum'"
rev_total,30367,2018-19,FALSE,Total revenue,Actual
rev_total,32162,2019-20,FALSE,Total revenue,Actual
rev_total,34139,2020-21,FALSE,Total revenue,Budget Estimate
rev_total,31618,2021-22,TRUE,Total revenue,Forward Estimate
rev_total,32466,2022-23,TRUE,Total revenue,Forward Estimate
rev_total,33547,2023-24,TRUE,Total revenue,Forward Estimate
rev_taxation,8616,2018-19,FALSE,Total Taxation,Actual
rev_taxation,9077,2019-20,FALSE,Total Taxation,Actual
rev_taxation,8806,2020-21,FALSE,Total Taxation,Budget Estimate
rev_taxation,9122,2021-22,TRUE,Total Taxation,Forward Estimate
rev_taxation,9611,2022-23,TRUE,Total Taxation,Forward Estimate
rev_taxation,9980,2023-24,TRUE,Total Taxation,Forward Estimate
